cam,,,,,,,,,
,COUNTRY,VISA TYPE,DETAILS,REQUIREMENTS,PROCESSING TIME ,SALARY (JOB OFFER),NO OF YEARS (CONTRACT),COST,PACKAGE INCLUSIONS
,SERBIA,Work visa,Factory helpers,The passport should be properly scanned,2 to 3 months,850 to 1200 Euros,2 years contract,6000 Euros,Work visa 
,,,Warehouse helpers,,,,,,Residence permit
,,,Construction,,,,,,Ticket
,,,Drivers,,,,,,Job
,,,Elecricians,,,,,,Accommodation
,,,,,,,,,
,,,,,,,,,
,NETHERLANDS,Work visa,Caregiver work,Passport,3 months ,3600 euros,2 years contract,"9,000 Euros",Accommodation
,,,,Birth certificate,,,,,Meals
,,,,Ghana card,,,,,Healthcare coverage
,,,,Verifiable carer certificate available at a fee,,,,,Transportation
,,,,,,,,,Working gear
,,,,,,,,,
,ALBANIA,Work visa,Cleaners,Passport,1 to 2 weeks,850 to 1200 euros plus allowance,2 years contract,4500 Euros,Work visa
,,,Delivery riders,Passport picture,,,,,"Ticket, job and accommodation"
,,,Restaurant workers,Ghana card ,,,,,
,,,Hotel workers,,,,,,
,,,Warehouse,,,,,,
,,,,,,,,,
,,,,,,,,,
,DUBAI,Work visa,Security,Passport,4 to 6 weeks,1800 to 2200 AED,2 years contract,"30,000 cedis","Visa, job, accommodation"
,,,,Passport picture,,,,,Medical insurance
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,OMAN ,Work visa,Capenters,Passport ,2 weeks,150 OMAN RIYALS,2 years contract,,
,,,,Full picture,,,,,
,,,,Medicals,,,,,
,,,,Licence[F],,,,,
,,,,,,,,,
,SOUTH KOREA, Work visa,Farm workers,Passport,2 to 3 months,200 US dollars deposit,2 years contract,8000 USD,Accommodation provided
,,,Factory helpers,Passport picture,,,,,Job
,,,Construction workers,Birth certificate,,,,,Visa
,,,Waiters\waitresses,Medicals,,,,,
,,,Warehouse workers,Police clearance,,,,,
,,,,Ghana card,,,,,
,,,,,,,,,
,,,,,,,,,
,FRANCE ,"Tourist, Visa",,Passport ,4 to 6 weeks,,2 to 3 years contract,7500 Euros,Tourist visa
,,,,Birth certificate,,,,,
,,,,Yellow fever card,,,,,
,,,,Passport picture,,,,,
,,,,,,,,,
,PALAU,Work,Factory worker,Scan passport,2 to 3 weeks,1000 -  1500 USD,2 years contract,4000 dollar,Flight ticket
,,,Construction work,Passport picture with white background,,,,,Accommodation
,,,Receptionist,Medical report,,,,,
,,,Cleaners,Police report,,,,,
,,,,Yellow fever,,,,,
,,,,Covid 19 test,,,,,
,,,,,,,,,
,,,,,,,,,
,BRAZIL,"Tourist, Visa",,Passport,6 to 8 weeks,,2 or 3 years contract,5000 USD,Tourist visa
,,,,Passport picture,,,,,
,,,,,,,,,
